成语5000,,,,
序号,成语,出处,,
,爱屋及乌,,,
,爱憎分明,,,
,安步当车,,,
,安然无恙,,,
,安土重迁,,,
,安营扎寨,,,
,安之若素,,,
,按部就班,,,
,案牍劳形,,,
,嗷嗷待哺,,,
,傲然屹立,,,
,拔山扛鼎,,,
,霸王别姬,,,
,白璧微瑕,,,
,白饭青刍,,,
,白驹过隙,,,
,白眉赤眼,,,
,白手起家,,,
,白衣苍狗,,,
,白衣公卿,,,
,白鱼入舟,,,
,百舸争流,,,
,百里之才,,,
,百无聊赖,,,
,百战不殆,,,
,百折不回,,,
,柏舟之誓,,,
,败絮其中,,,
,稗官野史,,,
,班门弄斧,,,
,阪上走丸,,,
,抱残守缺,,,
,抱头鼠窜,,,
,抱薪救火,,,
,暴风骤雨,,,
,暴虎冯河,,,
,暴殄天物,,,
,杯弓蛇影,,,
,杯盘狼藉,,,
,杯水车薪,,,
,悲歌击筑,,,
,悲天悯人,,,
,被发左衽,,,
,被坚执锐,,,
,本末倒置,,,
,逼上梁山,,,
,笔大如椽,,,
,笔耕不辍,,,
,笔墨纸砚,,,
,笔走龙蛇,,,
,闭门造车,,,
,敝帚自珍,,,
,筚路蓝缕,,,
,弊车羸马,,,
,髀肉复生,,,
,鞭辟入里,,,
,变徵之声,,,
,便宜行事,,,
,遍体鳞伤,,,
,摽梅之年,,,
,别出机杼,,,
,别出心裁,,,
,别无长物,,,
,彬彬有礼,,,
,兵不血刃,,,
,秉性愚钝,,,
,并驾齐驱,,,
,病来如山倒，病去如抽丝,,,
,病入膏肓,,,
,拨乱反正,,,
,伯仲叔季,,,
,伯仲之间,,,
,博闻强记,,,
,博学笃志,,,
,不辨菽麦,,,
,不差累黍,,,
,不耻下问,,,
,不二法门,,,
,不愤不启,,,
,不孚众望,,,
,不负众望,,,
,不攻自破,,,
,不怀好意,,,
,不解之谜,,,
,不近人情,,,
,不经之谈,,,
,不胫而走,,,
,不绝如缕,,,
,不刊之论,,,
,不可或缺,,,
,不可开交,,,
,不可理喻,,,
,不可收拾,,,
,不可思议,,,
,不可向迩,,,
,不可一世,,,
,不可终日,,,
,不可捉摸,,,
,不郎不秀,,,
,不稂不莠,,,
,不劳而获,,,
,不落窠臼,,,
,不毛之地,,,
,不能自已,,,
,不期而至,,,
,不求甚解,,,
,不忍卒读,,,
,不容商榷,,,
,不容置喙,,,
,不衫不履,,,
,不舍昼夜,,,
,不省人事,,,
,不胜其烦,,,
,不速之客,,,
,不瘟不火,,,
,不屑一顾,,,
,不屑置辩,,,
,不修边幅,,,
,不言而喻,,,
,不厌其烦,,,
,不一而足,,,
,不以为然,,,
,不以为意,,,
,不亦乐乎,,,
,不由分说,,,
,不约而同,,,
,不赞一词,,,
,不折不挠,,,
,不知好歹,,,
,不知所措,,,
,不知所云,,,
,不足为据,,,
,不足为奇,,,
,不足为训,,,
,步步为营,,,
,步履蹒跚,,,
,才高八斗,,,
,财不露白,,,
,采薪之忧,,,
,参差不齐,,,
,残兵败将,,,
,残羹冷炙,,,
,蚕食鲸吞,,,
,惨淡经营,,,
,惨绝人寰,,,
,仓皇失措,,,
,沧海桑田,,,
,沧海一粟,,,
,藏龙卧虎,,,
,藏污纳垢,,,
,草菅人命,,,
,草长莺飞,,,
,侧目而视,,,
,层出不穷,,,
,曾几何时,,,
,察言观色,,,
,差强人意,,,
,尝鼎一脔,,,
,怅然若失,,,
,朝不虑夕,,,
,朝朝暮暮,,,
,朝三暮四,,,
,朝闻夕死,,,
,车马辐辏,,,
,车水马龙,,,
,沉李浮瓜,,,
,沉默寡言,,,
,沉鱼落雁,,,
,陈力就列,,,
,瞠目结舌,,,
,诚惶诚恐,,,
,城下之盟,,,
,乘龙快婿,,,
,乘兴而归,,,
,程门立雪,,,
,嗤之以鼻,,,
,痴心妄想,,,
,魑魅魍魉,,,
,持之以恒,,,
,尺短寸长,,,
,叱咤风云,,,
,赤朱丹彤,,,
,赤子之心,,,
,充耳不闻,,,
,抽手旁观,,,
,抽丝剥茧,,,
,抽薪止沸,,,
,绸缪束薪,,,
,踌躇不前,,,
,踌躇满志,,,
,臭名昭著,,,
,出尔反尔,,,
,出奇制胜,,,
,出言不逊,,,
,楚楚动人,,,
,楚楚可怜,,,
,处心积虑,,,
,触目伤怀,,,
,川流不息,,,
,穿云裂石,,,
,穿凿附会,,,
,传杯换盏,,,
,吹毛求疵,,,
,垂纶长川,,,
,垂头丧气,,,
,捶胸顿足,,,
,春风化雨,,,
,春寒料峭,,,
,春晖寸草,,,
,春秋笔法,,,
,唇焦口燥,,,
,唇亡齿寒,,,
,聪明绝伦,,,
,从恶如崩,,,
,从谏如流,,,
,从善如登,,,
,从善如流,,,
,从一而终,,,
,促膝谈心,,,
,摧枯拉朽,,,
,厝火积薪,,,
,错综复杂,,,
,大饱眼福,,,
,大彻大悟,,,
,大打折扣,,,
,大而化之,,,
,大而无当,,,
,大发雷霆,,,
,大放厥词,,,
,大惊失色,,,
,大块朵颐,,,
,大名鼎鼎,,,
,大庭广众,,,
,大相径庭,,,
,大有裨益,,,
,大智若愚,,,
,待价而沽,,,
,怠惰成性,,,
,担惊受怕,,,
,殚精竭虑,,,
,箪食壶浆,,,
,箪食瓢饮,,,
,胆战心惊,,,
,弹冠相庆,,,
,淡泊明志,,,
,当仁不让,,,
,当之无愧,,,
,荡然无存,,,
,道路以目,,,
,得寸进尺,,,
,得失俱亡,,,
,得天独厚,,,
,得鱼忘筌,,,
,地崩山摧,,,
,登高自卑,,,
,登堂入室,,,
,等闲视之,,,
,低眉顺眼,,,
,抵足而眠,,,
,颠倒黑白,,,
,颠倒是非,,,
,颠沛流离,,,
,雕梁画栋,,,
,跌宕起伏,,,
,喋喋不休,,,
,顶礼膜拜,,,
,鼎铛玉石,,,
,鼎鼎有名,,,
,鼎镬刀锯,,,
,鼎力相助,,,
,鼎足而立,,,
,东窗事发,,,
,东床快婿,,,
,东道之谊,,,
,东风过耳,,,
,东郭先生,,,
,东南雀飞,,,
,东山再起,,,
,东施效颦,,,
,洞若观火,,,
,斗折蛇行,,,
,豆蔻年华,,,
,豆剖瓜分,,,
,独领风骚,,,
,独一无二,,,
,短小精悍,,,
,断发文身,,,
,断章取义,,,
,堆积如山,,,
,对床夜雨,,,
,对牛弹琴,,,
,顿开茅塞,,,
,多多益善,,,
,咄咄逼人,,,
,夺眶而出,,,
,俄顷之间,,,
,额手称庆,,,
,饿殍遍野,,,
,而立之年,,,
,耳鬓厮磨,,,
,耳不忍闻,,,
,耳濡目染,,,
,耳熟能详,,,
,耳顺之年,,,
,耳提面命,,,
,耳闻目睹,,,
,发轫之作,,,
,发上指冠,,,
,伐木丁丁,,,
,罚不当罪,,,
,翻来覆去,,,
,翻云覆雨,,,
,繁华酥骨,,,
,繁芜丛杂,,,
,繁芜丛杂,,,
,反哺报亲,,,
,反复无常,,,
,反躬自省,,,
,反躬自省,,,
,犯而不校,,,
,犯而不校,,,
,范张鸡黍,,,
,方底圆盖,,,
,方底圆盖,,,
,方底圆盖,,,
,方枘圆凿,,,
,方枘圆凿,,,
,方天画戟,,,
,方兴未艾,,,
,防微杜渐,,,
,防微杜渐,,,
,放浪形骸,,,
,飞蛾扑火,,,
,蜚短流长,,,
,废寝忘食,,,
,沸反盈天,,,
,沸反盈天,,,
,沸反盈天,,,
,沸沸扬扬,,,
,沸沸扬扬,,,
,沸沸扬扬,,,
,沸沸扬扬,,,
,肺腑之言,,,
,分崩离析,,,
,分崩离析,,,
,分崩离析,,,
,分崩离析,,,
,分庭抗礼,,,
,分庭抗礼,,,
,分庭抗礼,,,
,纷纷扬扬,,,
,纷至沓来,,,
,焚膏继晷,,,
,焚膏继晷,,,
,焚膏继晷,,,
,焚琴煮鹤,,,
,焚琴煮鹤,,,
,焚琴煮鹤,,,
,粉墨登场,,,
,粉墨登场,,,
,粉墨登场,,,
,粉墨登场,,,
,丰功伟绩,,,
,风餐露宿,,,
,风驰电掣,,,
,风吹雨打,,,
,风华正茂,,,
,风口浪尖,,,
,风流倜傥,,,
,风靡一时,,,
,风平浪静,,,
,风声鹤唳,,,
,风声鹤唳,,,
